,MALES,,,,,,FEMALES,,
WT/Het,Animal ID,date of sacrifice:,genotype,,,WT/Het,Animal ID,date of sacrifice:,genotype
,974,10/04/2023,het,,,,976,10/11/2023,wt
,995,10/11/2023,wt,,,,990,10/11/2023,wt
CNTRL,427,in progress,het,,,CNTRL,977,10/11/2023,het
,692,10/18/2023,wt,,,,698,10/18/2023,wt
,430,in progress,het,,,,691,10/18/2023,wt
,215,in progress,wt,,,,690,10/18/2023,wt
,,,,,,,,,
,,,,,,,,,
,MALES,,,,,,FEMALES,,
KO,Animal ID,date of sacrifice:,,,,KO,Animal ID,date of sacrifice:,genotype
,973,10/04/2023,,,,,981,10/04/2023,
,689,10/18/2023,,,,,357,in progress,
CNTRL,297,in progress,,,,CNTRL,358,in progress,
,217,in progress,,,,,331,in progress,
,428,in progress,,,,,333,in progress,
,369,in progress,,,,,,need,
,,,,,,,,,
,MALES,,,,,,FEMALES,,
WT/Het,Animal ID,date of sacrifice:,genotype,,,WT/Het,Animal ID,date of sacrifice:,genotype
,,,het,,,,,,wt
,,,het,,,,,,het
D-PEN,,,het,,,D-PEN,,,het
,,,wt,,,,,,wt
,,,wt,,,,,,het
,,,wt,,,,,,wt
,,,,,,,,,
,,,,,,,,,
,MALES,,,,,,FEMALES,,
KO,Animal ID,date of sacrifice:,Tissues (RT),,,KO,Animal ID,date of sacrifice:,Tissues (RT)
,,,,,,,445,,
,,,,,,,,,
D-PEN,,,,,,D-PEN,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,MALES,,,,,,FEMALES,,
WT/Het,Animal ID,date of sacrifice:,genotype,,,WT/Het,Animal ID,date of sacrifice:,genotype
,444,,het,,,,,,wt
,,,het,,,,,,het
ZINC,,,het,,,ZINC,,,het
,,,wt,,,,,,wt
,,,wt,,,,,,het
,,,wt,,,,,,wt
,,,,,,,,,
,,,,,,,,,
,MALES,,,,,,FEMALES,,
KO,Animal ID,date of sacrifice:,Tissues (RT),,,KO,Animal ID,date of sacrifice:,Tissues (RT)
,,,,,,,,,
,,,,,,,,,
ZINC,,,,,,ZINC,,,