"#, SEX",DOB,GENOTYPE,"TREATMENT, STATUS",NOTES,CAGE NUMBER,CAGE MATES
169f,10/30/2023,het,culled,ear trauma and lesion across neck 5/22,D1,282m
175f,11/7/2023,wt,breeding,,A1,180m
180m,11/7/2023,het,breeding,,A1,175f
205f,12/09/2023,het,breeding,,F1,309m
248f,03/04/2024,het,breeding,,E1,336m
336m,06/12/2024,ko,breeding,,E1,248f
282m,04/02/2024,ko,culled,,D1,169f
309m,05/13/2024,het,breeding,,F1,
390f,07/15/2024,wt,breeding,,,389
392m,07/25/2024,het,breeding,,,
427f,09/06/2024,het,breeding,,,
435m,10/03/2024,ko,breeding,,,"434,432,436,437"
478f,12/3/24,het,breeding,,,
479f,12/3/24,het,breeding,,,
489f,12/12/24,het,breeding,,,
491m,12/19/24,het,breeding,,,
492m,12/19/24,ko,breeding,,,
829f,2/21/2025,wt,culled,,,
830f,2/22/2025,het,culled,,,
831f,2/23/2025,het,culled,,,
833f,2/25/2025,het,culled,,,
834m,2/26/2025,het,culled,,,
835m,2/27/2025,wt,culled,,,
836m,2/28/2025,wt,culled,,,
852f,03/17/2025,ko,culled,,,
853f,03/17/2025,het,culled,,,
854f,03/17/2025,het,culled,,,
851m,03/17/2025,het,culled,,,
855m,03/21/2025,het,culled,,,
856m,03/21/2025,het,culled,,,
857m,03/21/2025,het,culled,,,
858f,03/21/2025,wt,culled,,,
841f,03/21/2025,wt,culled,,,
860f,03/21/2025,het,culled,,,
837f,04/09/2025,het,fourteen week sacrifice,sac/dis 7/16,,
838m,04/09/2025,het,culled,,,
839m,04/09/2025,het,culled,,,
840m,04/09/2025,ko,breeding,cross with 864,,
844m,4/17/2025,,culled,,,
842f,4/17/2025,het,culled,,,
843f,4/17/2025,het,culled,,,
861f,05/03/2025,het,culled,,,
862f,05/03/2025,het,culled,,,
863f,05/03/2025,ko,fourteen week sacrifice,8/8,,
864f,05/03/2025,het,breeding,cross with 840,,
865f,05/03/2025,het,fourteen week sacrifice,8/22,,
866f,05/03/2025,het,fourteen week sacrifice,8/22,,
867f,05/03/2025,wt,cull,(mouse unidentifiable - did not cull - HW),,
868m,05/03/2025,het,culled,,,
869m,05/03/2025,ko,breeding,cross with 872,,
870f,05/12/2025,ko,fourteen week sacrifice,8/18,,
871f,05/12/2025,het,culled,,,
872f,05/12/2025,het,breeding,cross with 869,,
873m,05/12/2025,wt,culled,,,
874m,05/12/2025,wt,culled,,,
875m,05/12/2025,wt,culled,,,
876m,05/12/2025,wt,culled,,,
845f,06/01/2025,ko,,,,
846f,06/01/2025,ko,,,,
847f,06/01/2025,het,,,,
848m,06/01/2025,het,,,,
849m,06/01/2025,ko,,,,
850f,05/03/2025,wt,,animal was retagged becuase it lost ear tag,,
877f,05/03/2025,het,,animal was retagged becuase it lost ear tag,,
884m,06/23/2035,ko,,,,
885m,06/23/2035,ko,,,,
886f,06/23/2035,wt,,,,
887f,06/23/2035,wt,,,,
888f,06/23/2035,ko,,,,
878f,06/18/2025,wt,,,,
879f,06/18/2025,ko,,,,
880m,06/18/2025,ko,,,,
881m,06/18/2025,het,,,,
882m,06/18/2025,wt,,,,
883m,06/18/2025,het,,,,
m,7/20/2025,,,,,
m,7/20/2025,,,,,
m,7/20/2025,,,,,
m,7/20/2025,,,,,
f,7/20/2025,,,,,
f,7/20/2025,,,,,
f,7/22/2025,,,,,
f,7/22/2025,,,,,
f,7/22/2025,,,,,
f,7/22/2025,,,,,
f,7/22/2025,,,,,
m,7/22/2025,,,,,